CustomerKey,GeographyKey,CustomerName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,Education,Occupation,HouseOwnerFlag,Address,FirstPurchaseDate
11023,298,Seth Edwards,09-04-1984,M,M,seth46@adventure-works.com,40000,Partial College,Skilled Manual,1,4499 Valley Crest,17-02-2013
11024,311,Russell Xie,16-03-1984,M,M,russell7@adventure-works.com,60000,Partial College,Skilled Manual,1,8734 Oxford Place,27-06-2013
11025,24,Alejandro Beck,22-06-1951,M,M,alejandro45@adventure-works.com,10000,Partial High School,Clerical,1,2596 Franklin Canyon Road,06-01-2011
11026,4,Harold Sai,01-10-1951,S,M,harold3@adventure-works.com,30000,Partial College,Clerical,0,8211 Leeds Ct.,23-01-2011
11027,40,Jessie Zhao,05-06-1952,M,M,jessie16@adventure-works.com,30000,Partial College,Clerical,1,213 Valencia Place,16-01-2011
11028,17,Jill Jimenez,09-10-1951,M,F,jill13@adventure-works.com,30000,Partial College,Clerical,1,9111 Rose Ann Ave,26-01-2011
11029,32,Jimmy Moreno,19-06-1952,M,M,jimmy9@adventure-works.com,30000,Partial College,Clerical,1,6385 Mark Twain,19-01-2011
11030,28,Bethany Yuan,18-02-1958,M,F,bethany10@adventure-works.com,10000,Partial High School,Clerical,1,636 Vine Hill Way,05-02-2011
11031,8,Theresa Ramos,18-02-1953,M,F,theresa13@adventure-works.com,20000,High School,Skilled Manual,1,6465 Detroit Ave.,01-02-2011
11032,35,Denise Stone,08-12-1952,M,F,denise10@adventure-works.com,20000,High School,Skilled Manual,1,626 Bentley Street,18-02-2011
11033,9,Jaime Nath,19-09-1958,M,M,jaime41@adventure-works.com,20000,High School,Skilled Manual,1,5927 Rainbow Dr,15-02-2011
11034,12,Ebony Gonzalez,16-12-1952,M,F,ebony19@adventure-works.com,20000,High School,Skilled Manual,1,5167 Condor Place,01-02-2011
11035,33,Wendy Dominguez,23-08-1953,M,F,wendy12@adventure-works.com,10000,Partial High School,Clerical,1,1873 Mt. Whitney Dr,06-02-2011
11036,343,Jennifer Russell,16-06-1984,M,F,jennifer93@adventure-works.com,60000,Partial College,Skilled Manual,1,3981 Augustine Drive,22-01-2013
11037,49,Chloe Garcia,27-05-1983,S,F,chloe27@adventure-works.com,40000,Partial High School,Clerical,0,8915 Woodside Way,20-01-2013
11038,6,Diana Hernandez,20-09-1953,M,F,diana2@adventure-works.com,10000,Partial High School,Clerical,1,8357 Sandy Cove Lane,07-02-2011
11039,19,Marc Martin,16-06-1954,M,M,marc3@adventure-works.com,30000,Partial College,Clerical,1,9353 Creekside Dr.,07-02-2011
11040,642,Jesse Murphy,29-01-1983,M,M,jesse15@adventure-works.com,30000,Partial College,Skilled Manual,1,3350 Kingswood Circle,03-04-2013
11041,325,Amanda Carter,15-04-1983,M,F,amanda53@adventure-works.com,60000,Partial College,Skilled Manual,1,5826 Escobar,14-01-2013
11042,338,Megan Sanchez,11-12-1982,M,F,megan28@adventure-works.com,70000,Partial College,Skilled Manual,1,1397 Paraiso Ct.,21-01-2013
11043,325,Nathan Simmons,23-08-1981,M,M,nathan11@adventure-works.com,60000,Partial College,Skilled Manual,1,1170 Shaw Rd,08-05-2013
11044,25,Adam Flores,21-11-1954,M,M,adam10@adventure-works.com,20000,Partial High School,Clerical,1,6935 Candle Dr,28-02-2011
11045,8,Leonard Nara,16-11-1955,S,M,leonard18@adventure-works.com,30000,High School,Skilled Manual,0,7466 La Vista Ave.,10-04-2013
11046,6,Christine Yuan,19-09-1955,M,F,christine4@adventure-works.com,30000,High School,Skilled Manual,1,2356 Orange St,06-02-2011
11047,34,Jaclyn Lu,27-08-1955,M,F,jaclyn12@adventure-works.com,30000,High School,Skilled Manual,0,2812 Mazatlan,03-02-2011
11048,39,Jeremy Powell,21-05-1956,M,M,jeremy26@adventure-works.com,30000,High School,Skilled Manual,1,1803 Potomac Dr.,10-02-2011
11049,307,Carol Rai,15-01-1986,S,F,carol8@adventure-works.com,40000,Partial High School,Clerical,1,6064 Madrid,09-03-2013
11050,31,Alan Zheng,06-03-1957,M,M,alan23@adventure-works.com,30000,High School,Skilled Manual,1,2741 Gainborough Dr.,20-02-2011
11051,21,Daniel Johnson,31-01-1957,S,M,daniel18@adventure-works.com,30000,High School,Skilled Manual,0,8085 Sunnyvale Avenue,29-12-2013
11052,8,Heidi Lopez,03-02-1957,S,F,heidi19@adventure-works.com,40000,Partial College,Clerical,0,2514 Via Cordona,17-02-2011
11053,359,Ana Price,17-02-1986,M,F,ana0@adventure-works.com,60000,Partial College,Skilled Manual,0,1660 Stonyhill Circle,17-01-2013
11054,34,Deanna Munoz,07-09-1957,M,F,deanna33@adventure-works.com,40000,Partial College,Skilled Manual,1,5825 B Way,03-02-2011
11055,22,Gilbert Raje,02-09-1957,M,M,gilbert35@adventure-works.com,40000,Partial College,Skilled Manual,1,8811 The Trees Dr.,31-01-2011
11056,10,Michele Nath,01-10-1958,M,F,michele19@adventure-works.com,40000,Partial College,Skilled Manual,1,5464 Janin Pl.,26-02-2011
11057,5,Carl Andersen,07-04-1970,M,M,carl12@adventure-works.com,70000,Graduate Degree,Management,1,6930 Lake Nadine Place,22-02-2011
11058,29,Marc Diaz,23-04-1965,M,M,marc6@adventure-works.com,80000,Partial College,Skilled Manual,1,6645 Sinaloa,09-03-2011
11059,27,Ashlee Andersen,29-09-1959,S,F,ashlee19@adventure-works.com,80000,Partial College,Skilled Manual,1,8255 Highland Road,18-02-2013
11060,40,Jon Zhou,14-09-1959,M,M,jon28@adventure-works.com,80000,Partial College,Skilled Manual,1,6574 Hemlock Ave.,19-03-2011
11061,23,Todd Gao,20-02-1976,M,M,todd14@adventure-works.com,80000,Partial College,Skilled Manual,1,8808 Geneva Ave,13-03-2011
11062,547,Noah Powell,01-03-1981,M,M,noah5@adventure-works.com,40000,High School,Skilled Manual,1,9794 Marion Ct,07-01-2013
11063,634,Angela Murphy,04-10-1980,S,F,angela41@adventure-works.com,40000,High School,Skilled Manual,1,4927 Virgil Street,12-01-2013
11064,315,Chase Reed,05-06-1981,M,M,chase21@adventure-works.com,40000,High School,Skilled Manual,1,2721 Alexander Pl.,25-01-2013
11065,331,Jessica Henderson,08-04-1979,M,F,jessica29@adventure-works.com,60000,Partial College,Skilled Manual,0,9343 Ironwood Way,10-02-2013
11066,543,Grace Butler,27-05-1979,M,F,grace62@adventure-works.com,70000,Partial College,Professional,1,4739 Garden Ave.,31-05-2013
11067,632,Caleb Carter,25-03-1982,S,M,caleb40@adventure-works.com,60000,Partial College,Professional,1,9563 Pennsylvania Blvd.,18-08-2013
11068,40,Tiffany Liang,19-09-1966,S,F,tiffany17@adventure-works.com,80000,High School,Skilled Manual,1,3608 Sinclair Avenue,30-04-2013
11069,23,Carolyn Navarro,17-09-1966,S,F,carolyn30@adventure-works.com,80000,High School,Skilled Manual,0,4606 Springwood Court,17-04-2011
11070,39,Willie Raji,02-10-1960,M,M,willie40@adventure-works.com,80000,High School,Skilled Manual,1,6260 Vernal Drive,28-04-2011
11071,24,Linda Serrano,23-12-1960,S,F,linda31@adventure-works.com,80000,High School,Skilled Manual,1,9808 Shaw Rd.,01-03-2013
11072,17,Casey Luo,05-08-1960,S,F,casey6@adventure-works.com,80000,High School,Skilled Manual,0,9513 Roslyn Drive,31-03-2011
11073,16,Amy Ye,11-02-1962,S,F,amy16@adventure-works.com,70000,High School,Skilled Manual,1,2262 Kirkwood Ct.,23-03-2013
11074,28,Levi Arun,25-02-1962,S,M,levi6@adventure-works.com,70000,High School,Skilled Manual,1,4661 Bluetail,23-03-2013
11075,32,Felicia Jimenez,16-05-1963,S,F,felicia4@adventure-works.com,80000,High School,Professional,1,786 Eastgate Ave,28-04-2011
11076,19,Blake Anderson,10-01-1963,S,M,blake9@adventure-works.com,80000,High School,Professional,1,5436 Clear,21-04-2011
11077,36,Leah Ye,19-03-1963,S,F,leah7@adventure-works.com,80000,High School,Professional,0,1291 Arguello Blvd.,15-04-2011
11078,49,Gina Martin,06-01-1985,S,F,gina1@adventure-works.com,40000,High School,Professional,0,1349 Sol St.,15-02-2013
11079,34,Donald Gonzalez,07-03-1970,S,M,donald20@adventure-works.com,160000,Graduate Degree,Management,1,4236 Malibu Place,15-03-2013
11080,30,Damien Chander,13-01-1965,M,M,damien32@adventure-works.com,170000,Graduate Degree,Management,1,9941 Stonehedge Dr.,10-04-2011
11081,311,Savannah Baker,21-01-1972,M,F,savannah39@adventure-works.com,120000,Bachelors,Management,1,1210 Trafalgar Circle,12-02-2013
11082,322,Angela Butler,01-02-1972,S,F,angela17@adventure-works.com,130000,Graduate Degree,Management,0,6040 Listing Ct,22-01-2013
11083,336,Alyssa Cox,11-03-1977,M,F,alyssa37@adventure-works.com,130000,Graduate Degree,Management,1,867 La Orinda Place,06-01-2013
11084,543,Lucas Phillips,12-03-1963,S,M,lucas7@adventure-works.com,80000,Partial High School,Skilled Manual,0,8668 St. Celestine Court,04-01-2013
11085,345,Emily Johnson,16-01-1963,S,F,emily1@adventure-works.com,60000,High School,Professional,0,7926 Stephanie Way,06-12-2013
11086,369,Ryan Brown,22-06-1963,M,M,ryan43@adventure-works.com,70000,Partial College,Professional,1,2939 Wesley Ct.,02-07-2013
11087,307,Tamara Liang,02-04-1963,M,F,tamara6@adventure-works.com,70000,Partial College,Professional,0,3791 Rossmor Parkway,25-02-2013
11088,359,Hunter Davis,25-05-1963,M,M,hunter64@adventure-works.com,80000,Bachelors,Management,1,4308 Sand Pointe Lane,13-01-2013
11089,337,Abigail Price,05-08-1962,S,F,abigail25@adventure-works.com,80000,Bachelors,Management,1,2685 Blackburn Ct,29-12-2012
11090,338,Trevor Bryant,13-12-1968,S,M,trevor18@adventure-works.com,90000,Partial College,Professional,1,5781 Sharon Dr.,07-08-2011
11091,50,Dalton Perez,02-10-1962,M,M,dalton37@adventure-works.com,90000,Partial College,Professional,1,6083 San Jose,29-01-2013
11092,22,Cheryl Diaz,02-11-1972,M,F,cheryl4@adventure-works.com,90000,Bachelors,Professional,1,7297 Kaywood Drive,08-04-2011
11093,19,Aimee He,06-09-1978,M,F,aimee13@adventure-works.com,100000,Graduate Degree,Management,1,1833 Olympic Drive,07-04-2011
11094,33,Cedric Ma,29-09-1967,S,M,cedric15@adventure-works.com,70000,Partial College,Skilled Manual,0,3407 Oak Brook Place,07-04-2013
11095,13,Chad Kumar,29-02-1968,S,M,chad9@adventure-works.com,70000,Partial College,Skilled Manual,1,1681 Lighthouse Way,01-04-2011
11096,12,Andrés Anand,07-02-1968,M,M,andrés18@adventure-works.com,60000,Bachelors,Professional,1,5423 Los Gatos Ct.,11-04-2011
11097,40,Edwin Nara,23-10-1972,M,M,edwin39@adventure-works.com,60000,Partial College,Skilled Manual,1,719 William Way,04-04-2011
11098,14,Mallory Rubio,29-10-1966,S,F,mallory7@adventure-works.com,60000,Partial College,Skilled Manual,0,6452 Harris Circle,11-02-2013
11099,13,Adam Ross,05-09-1966,M,M,adam2@adventure-works.com,60000,Bachelors,Professional,1,4378 Westminster Place,07-04-2011
11100,28,Latasha Navarro,15-03-1966,S,F,latasha10@adventure-works.com,60000,Partial College,Skilled Manual,1,6954 Ranch Road,16-04-2011
11101,33,Abby Sai,05-11-1970,S,F,abby4@adventure-works.com,70000,Bachelors,Professional,0,7074 N. Spoonwood Court,29-04-2011
11102,18,Julia Nelson,19-10-1970,S,F,julia7@adventure-works.com,80000,Bachelors,Professional,1,2196 Coat Ct.,16-07-2013
11103,3,Cassie Chande,12-04-1981,S,F,cassie13@adventure-works.com,70000,Bachelors,Professional,1,9448 San Marino Ct.,15-04-2011
11104,23,Edgar Sara,08-03-1975,M,M,edgar11@adventure-works.com,70000,Bachelors,Professional,0,6127 Lilly Lane,04-05-2011
11105,8,Candace Fernandez,27-06-1970,S,F,candace15@adventure-works.com,70000,Bachelors,Professional,0,5029 Blue Ridge,14-05-2011
11106,40,Jessie Liu,11-03-1970,S,M,jessie9@adventure-works.com,70000,Bachelors,Professional,0,3063 Blue Jay Drive,18-05-2011
11107,17,Bianca Lin,04-03-1976,M,F,bianca7@adventure-works.com,90000,Bachelors,Professional,1,7530 Eola,01-05-2011
11108,13,Kari Alvarez,10-01-1969,S,F,kari25@adventure-works.com,70000,Bachelors,Professional,0,9178 Thornhill Place,03-05-2011
11109,38,Ruben Kapoor,30-04-1980,S,M,ruben1@adventure-works.com,70000,Bachelors,Professional,0,1984 Glendale Circle,10-05-2011
11110,3,Curtis Yang,04-12-1967,M,M,curtis5@adventure-works.com,60000,Partial College,Skilled Manual,1,4052 Mt. Wilson Way,01-05-2011
11111,34,Meredith Gutierrez,23-08-1967,M,F,meredith34@adventure-works.com,60000,Partial College,Skilled Manual,1,7610 Northridge Ct.,20-05-2011
11112,25,Crystal Wang,08-03-1968,M,F,crystal3@adventure-works.com,60000,Partial College,Skilled Manual,1,2773 Kirkwood Dr,25-05-2011
11113,30,Micheal Blanco,17-02-1973,M,M,micheal11@adventure-works.com,70000,Bachelors,Professional,1,596 Marfargoa Drive,01-02-2013
11114,14,Leslie Moreno,25-11-1967,S,F,leslie7@adventure-works.com,70000,Partial College,Skilled Manual,1,7941 Cristobal,18-03-2013
11115,17,Alvin Cai,12-08-1967,M,M,alvin20@adventure-works.com,70000,Partial College,Skilled Manual,1,7759 Azalea Avenue,10-02-2013
11116,18,Clinton Carlson,02-04-1979,M,M,clinton14@adventure-works.com,70000,Partial College,Skilled Manual,1,7943 Cunha Ct.,15-03-2013
11117,8,April Deng,21-08-1966,M,F,april1@adventure-works.com,70000,Partial College,Skilled Manual,1,485 Ash Lane,06-05-2011
11118,6,Alvin Zeng,31-12-1962,S,M,alvin21@adventure-works.com,80000,Partial College,Skilled Manual,0,3853 Wildcat Circle,10-07-2013
11119,13,Evan James,07-10-1940,S,M,evan8@adventure-works.com,30000,Partial College,Clerical,0,4157 Sierra Ridge,03-02-2013
11120,18,Beth Jiménez,06-02-1942,S,F,beth8@adventure-works.com,40000,Bachelors,Management,1,7401 Las Palmas,14-05-2011
11121,10,Orlando Suarez,18-05-1966,M,M,orlando19@adventure-works.com,70000,Partial College,Skilled Manual,1,7743 Hames Dr,24-06-2013
11122,12,Byron Vazquez,30-09-1965,M,M,byron9@adventure-works.com,70000,Partial College,Skilled Manual,1,3187 Hackamore Lane,21-02-2013
11123,39,Philip Alvarez,18-12-1965,M,M,philip4@adventure-works.com,70000,Partial College,Skilled Manual,1,2775 Mt. Olivet Pl.,17-04-2013
11124,40,Ross Jordan,23-07-1968,S,M,ross1@adventure-works.com,80000,Partial College,Skilled Manual,1,6973 Dublin Court,05-05-2011
11125,37,Dana Navarro,06-10-1961,S,F,dana2@adventure-works.com,70000,Partial College,Skilled Manual,1,8481 Zartop Street,31-01-2013
11126,11,Shaun Carson,05-10-1954,M,M,shaun16@adventure-works.com,10000,High School,Skilled Manual,0,57 Wolf Way,28-05-2011
11127,361,Jan Edwards,19-04-1981,M,F,jan11@adventure-works.com,40000,High School,Skilled Manual,1,9409 The Alameda,10-04-2013
11128,635,Samantha Long,03-06-1981,M,F,samantha35@adventure-works.com,40000,High School,Skilled Manual,1,1606 Alderwood Lane,19-06-2013
11129,638,Julia Wright,01-02-1981,S,F,julia17@adventure-works.com,40000,High School,Skilled Manual,1,7397 Central Blvd.,06-08-2011
11130,543,Caroline Russell,05-07-1985,M,F,caroline21@adventure-works.com,30000,High School,Skilled Manual,1,3884 Bates Court,09-12-2013
11131,50,Amanda Rivera,09-09-1985,M,F,amanda7@adventure-works.com,30000,High School,Skilled Manual,0,9573 Royal Oak Rd.,18-10-2013
11132,51,Melissa Richardson,25-04-1986,S,F,melissa31@adventure-works.com,30000,High School,Skilled Manual,0,6832 Fruitwood Dr,09-04-2013
11133,542,Angela Griffin,08-03-1986,S,F,angela23@adventure-works.com,30000,Partial High School,Clerical,0,3828 Baltic Sea Ct,30-12-2013
11134,30,Larry Townsend,22-02-1957,S,M,larry14@adventure-works.com,10000,High School,Skilled Manual,1,7034 Carson,03-05-2011
11135,302,Marcus Harris,02-05-1985,S,M,marcus14@adventure-works.com,30000,Partial High School,Clerical,0,9068 Quiet Place Drive,18-04-2013
11136,53,Brianna Morgan,24-04-1984,S,F,brianna30@adventure-works.com,40000,High School,Skilled Manual,0,9005 Eagle Ct.,03-01-2013
11137,641,Jasmine Taylor,17-01-1984,M,F,jasmine7@adventure-works.com,40000,High School,Skilled Manual,1,2457 Matterhorn Court,31-07-2013
11138,325,Lauren Davis,14-03-1984,M,F,lauren23@adventure-works.com,40000,High School,Skilled Manual,0,8105 Pembrook Court,19-09-2013
11139,28,Tanya Moreno,05-11-1949,S,F,tanya2@adventure-works.com,30000,Partial College,Clerical,0,6155 Wilbur Drive,14-09-2013
11140,301,Javier Alvarez,11-08-1982,S,M,javier1@adventure-works.com,30000,Partial High School,Clerical,0,8935 Etcheverry Dr.,19-03-2013
11141,314,Nicole Ramirez,19-12-1982,M,F,nicole42@adventure-works.com,40000,High School,Skilled Manual,0,1101 C Street,16-05-2013
11142,51,Eduardo Patterson,11-02-1983,S,M,eduardo55@adventure-works.com,40000,High School,Skilled Manual,0,6255 Macalvey Dr.,13-02-2013
11143,334,Jonathan Henderson,04-08-1982,M,M,jonathan4@adventure-works.com,40000,High School,Skilled Manual,1,165 East Lane Road,15-06-2013
11144,607,Edward Hernandez,08-03-1985,S,M,edward48@adventure-works.com,40000,High School,Skilled Manual,0,7607 Pine Hollow Road,25-01-2013
11145,536,Jasmine Coleman,06-06-1985,S,F,jasmine46@adventure-works.com,40000,High School,Skilled Manual,0,1961 Oak Grove Road,25-01-2013
11146,8,Karla Goel,22-02-1945,S,F,karla20@adventure-works.com,40000,Bachelors,Management,1,3272 Corrie Lane,05-02-2013
11147,40,Ernest Wu,04-08-1944,M,M,ernest6@adventure-works.com,60000,Graduate Degree,Management,1,1832 RiverRock Dr,13-05-2011
11148,22,Ross Vazquez,13-02-1947,M,M,ross32@adventure-works.com,40000,Bachelors,Management,1,1201 Paso Del Rio Way,07-03-2013
11149,25,Theodore Gill,18-10-1946,M,M,theodore14@adventure-works.com,40000,Bachelors,Management,1,9120 Pinewood Court,04-06-2013
11150,39,Russell Shen,12-09-1946,S,M,russell6@adventure-works.com,40000,Bachelors,Management,1,4755 Easley Drive,27-03-2013
11151,18,Melinda Gill,25-08-1947,S,F,melinda9@adventure-works.com,60000,Graduate Degree,Management,0,805 Rainier Dr.,15-05-2011
11152,633,James Williams,09-07-1981,S,M,james77@adventure-works.com,40000,High School,Skilled Manual,1,6827 Seagull Court,09-01-2013
11153,635,Angela James,21-12-1981,M,F,angela34@adventure-works.com,40000,High School,Skilled Manual,1,8877 Weatherly Drive,29-03-2013
11154,553,Megan Walker,18-02-1982,S,F,megan25@adventure-works.com,40000,Partial College,Skilled Manual,1,6898 Holiday Hills,10-01-2013
11155,301,Hunter Robinson,25-07-1981,S,M,hunter50@adventure-works.com,40000,Partial College,Skilled Manual,0,8356 Mori Court,06-01-2013
11156,334,Maria Roberts,06-08-1981,S,F,maria47@adventure-works.com,40000,Partial College,Skilled Manual,0,9452 Mariposa Ct.,08-01-2013
11157,642,Hannah Long,08-12-1980,M,F,hannah32@adventure-works.com,40000,High School,Skilled Manual,1,1832 Preston Ct.,24-07-2013
11158,361,Jason Wright,06-04-1981,S,M,jason46@adventure-works.com,40000,High School,Skilled Manual,1,6771 Bundros Court,19-01-2013
11159,385,Brianna Hughes,16-03-1981,S,F,brianna57@adventure-works.com,40000,High School,Skilled Manual,0,6793 Bonifacio St.,08-09-2013
11160,311,Maurice Tang,08-07-1979,S,M,maurice4@adventure-works.com,40000,Partial College,Skilled Manual,0,2886 Chaparral Court,21-02-2013
11161,311,Emily Wood,20-10-1979,S,F,emily27@adventure-works.com,40000,Partial College,Skilled Manual,0,1562 Black Walnut,01-06-2013
11162,331,Chase Cox,02-09-1979,S,M,chase10@adventure-works.com,40000,Partial College,Skilled Manual,1,P.O. Box 8070,18-02-2013
11163,372,Gabriel Wang,18-06-1980,M,M,gabriel21@adventure-works.com,40000,Partial College,Skilled Manual,1,8002 Crane Court,01-05-2013
11164,374,Devin Brooks,02-11-1979,S,M,devin63@adventure-works.com,40000,Partial College,Skilled Manual,0,4231 Highland Dr.,27-04-2013
11165,348,Jocelyn Alexander,15-01-1979,M,F,jocelyn18@adventure-works.com,60000,Partial College,Skilled Manual,0,3376 Bank Way,25-05-2013
11166,631,Ashley Martinez,22-10-1977,S,F,ashley18@adventure-works.com,70000,Partial College,Skilled Manual,0,6993 Whyte Park Ave.,14-10-2013
11167,618,Jasmine Barnes,29-01-1978,S,F,jasmine43@adventure-works.com,80000,Bachelors,Management,0,9183 Via Del Sol,07-01-2013
11168,348,David Rodriguez,12-11-1973,S,M,david83@adventure-works.com,80000,Bachelors,Management,0,38 Shangri-la Rd.,15-01-2013
11169,312,Bryce Richardson,20-12-1973,M,M,bryce8@adventure-works.com,90000,Bachelors,Management,1,1841 Blackwood Drive,26-05-2013
11170,612,Carol Howard,04-08-1973,M,F,carol5@adventure-works.com,90000,Bachelors,Management,1,6281 Edward Ave,26-08-2013
11171,385,Jonathan Hill,05-10-1978,S,M,jonathan43@adventure-works.com,100000,Bachelors,Management,1,3731 Chinquapin Ct,20-08-2011
11172,626,Gabrielle Adams,20-05-1973,M,F,gabrielle58@adventure-works.com,100000,Bachelors,Management,1,5621 Arcadia Pl.,03-05-2013
11173,552,Sarah Thomas,28-02-1973,S,F,sarah13@adventure-works.com,110000,Graduate Degree,Management,0,5636 Mt. Whitney Dr.,02-03-2013
11174,338,Nicholas Robinson,09-01-1973,M,M,nicholas19@adventure-works.com,110000,Graduate Degree,Management,1,1318 Lasalle Street,13-07-2013
11175,300,Luis Wang,01-09-1968,S,M,luis24@adventure-works.com,70000,Partial College,Skilled Manual,1,6943 Patterson Blvd.,28-08-2011
11176,50,Mason Roberts,21-01-1979,M,M,mason25@adventure-works.com,90000,Bachelors,Management,1,5753 Megan Dr.,02-02-2013
11177,359,Jose Flores,01-01-1948,M,M,jose6@adventure-works.com,110000,Graduate Degree,Management,1,3991 Rambling Rose Drive,29-03-2013
11178,334,Nathan Johnson,20-08-1954,M,M,nathan55@adventure-works.com,100000,Graduate Degree,Management,1,8927 Daylight Place,21-02-2013
11179,300,Molly Rodriguez,08-12-1959,M,F,molly18@adventure-works.com,120000,Graduate Degree,Management,1,5556 Riverland Dr.,12-03-2013
11180,307,April Anand,01-07-1948,M,F,april18@adventure-works.com,160000,Bachelors,Management,1,3531 Brookview Drive,17-03-2013
11181,338,Devin Martin,01-02-1960,M,M,devin13@adventure-works.com,170000,Graduate Degree,Management,1,1085 Greenbelt Way,07-05-2013
11182,638,Stephanie Torres,22-02-1950,S,F,stephanie19@adventure-works.com,70000,Bachelors,Management,1,6968 Mildred Ln.,28-08-2013
11183,368,Jasmine Lee,12-01-1950,S,F,jasmine19@adventure-works.com,70000,Bachelors,Management,1,7502 Contuti Avenue,30-04-2013
11184,311,Meghan Hernandez,13-11-1955,S,F,meghan3@adventure-works.com,70000,Bachelors,Management,1,5872 L St.,10-08-2013
11185,53,Ashley Henderson,07-04-1950,S,F,ashley31@adventure-works.com,70000,Bachelors,Management,1,8834 San Jose Ave.,21-02-2013
11186,352,Sarah Price,18-11-1949,S,F,sarah25@adventure-works.com,70000,Bachelors,Management,1,4815 Paraiso Ct.,18-10-2013
11187,612,Jennifer Cooper,21-08-1949,M,F,jennifer63@adventure-works.com,60000,Graduate Degree,Management,1,2429 Longview Road,03-04-2013
11188,361,Catherine Morris,06-03-1950,M,F,catherine16@adventure-works.com,60000,Graduate Degree,Management,0,6542 Stonewood Drive,01-11-2013
11189,609,Lawrence Blanco,12-01-1950,S,M,lawrence14@adventure-works.com,60000,Graduate Degree,Management,1,7502 Contuti Avenue,26-08-2011
11190,300,Carson Bryant,20-12-1949,M,M,carson17@adventure-works.com,70000,Bachelors,Management,1,2995 Youngsdale Dr.,28-08-2013
11191,310,Kristi Perez,17-06-1951,S,F,kristi39@adventure-works.com,70000,Bachelors,Management,1,1769 Lislin Ct,11-08-2011
11192,637,James Brown,13-03-1951,M,M,james79@adventure-works.com,60000,Bachelors,Management,1,673 Old Mountain View Dr.,23-06-2013
11193,553,Ian Gray,13-08-1950,M,M,ian72@adventure-works.com,60000,Bachelors,Management,1,5941 Gill Dr.,25-02-2013
